ID,DtEmissão,DtVencimento,VlOriginal,Desconto,Prestador,Motivo,VlPago,DtPagamento,Saldo,Quitado,Observ,BancoSaida,NFSolicitada
189,2024-02-19 00:00:00,2024-02-29 00:00:00,3000,0,77,Serviços tomados,3000,2024-03-18 00:00:00,0,S,IMPLANT. TOTVS OESTE RM FOLHA E PONTO (FIM DAS MIGRAÇÕES DE DADOS),BS2,
190,2024-02-19 00:00:00,2024-03-29 00:00:00,3600,0,77,Serviços tomados,3600,2024-04-10 00:00:00,0,S,IMPLANT. TOTVS OESTE RM FOLHA E PONTO,BS2,
191,2024-02-19 00:00:00,2024-05-20 00:00:00,3000,0,77,Serviços tomados,3000,2024-05-15 00:00:00,0,S,IMPLANT. TOTVS OESTE RM FOLHA E PONTO,BS2,
192,2024-02-21 00:00:00,2024-03-20 00:00:00,4500,0,43,Adiantamento Prestador,4500,2024-02-21 00:00:00,0,S,Antecipação p/ desconto em Março/24,BS2,
193,2024-03-01 00:00:00,2024-03-20 00:00:00,2000,0,43,Adiantamento Prestador,2000,2024-03-01 00:00:00,0,S,Antecipação p/ desconto em Março/24,BS2,
195,2024-03-07 00:00:00,2024-03-20 00:00:00,2860,0,73,Serviços tomados,2860,2024-03-15 00:00:00,0,S,Fabiana apontando para Cleber,BS2,
196,2024-03-07 00:00:00,2024-03-20 00:00:00,4940,0,68,Serviços tomados,4940,2024-03-20 00:00:00,0,S,Serv.Leandro Valêncio,BS2,
197,2024-03-07 00:00:00,2024-03-20 00:00:00,2475,0,77,Serviços tomados,2475,2024-03-15 00:00:00,0,S,Serv.TOTVS IP,BS2,
198,2024-03-07 00:00:00,2024-03-20 00:00:00,8320,0,40,Serviços tomados,8320,2024-03-18 00:00:00,0,S,"65,00 p/ Sande e 10,00 para Lanes",BS2,
199,2024-03-07 00:00:00,2024-03-20 00:00:00,5200,0,40,Serviços tomados,5200,2024-03-18 00:00:00,0,S,"65 hrs Sande e 2,5 hrs Valdiney",BS2,
201,2024-03-07 00:00:00,2024-03-20 00:00:00,2340,0,64,Serviços tomados,2340,2024-03-18 00:00:00,0,S,,BS2,
202,2024-03-07 00:00:00,2024-03-20 00:00:00,9750,0,57,Serviços tomados,9750,2024-03-19 00:00:00,0,S,,BS2,
203,2024-03-07 00:00:00,2024-03-20 00:00:00,8600,0,39,Serviços tomados,8600,2024-03-19 00:00:00,0,S,Já com desp.Presencial,BS2,
204,2024-03-07 00:00:00,2024-03-20 00:00:00,10560,0,32,Serviços tomados,10560,2024-03-15 00:00:00,0,S,,BS2,
205,2024-03-07 00:00:00,2024-03-20 00:00:00,7500,0,62,Serviços tomados,7500,2024-03-20 00:00:00,0,S,,BS2,
206,2024-03-07 00:00:00,2024-03-20 00:00:00,1680,0,55,Serviços tomados,1680,2024-03-19 00:00:00,0,S,,BS2,
207,2024-03-07 00:00:00,2024-03-20 00:00:00,4480,0,55,Serviços tomados,4480,2024-03-19 00:00:00,0,S,"Prod.Robes+Mota fat.44 hrs, MAISROI fará margem com 65 hrs em março.",BS2,
209,2024-03-07 00:00:00,2024-03-20 00:00:00,14251.95,0,74,Serviços tomados,14251.95,2024-03-18 00:00:00,0,S,,BS2,
210,2024-03-07 00:00:00,2024-03-20 00:00:00,6240,0,72,Serviços tomados,6240,2024-03-19 00:00:00,0,S,,BS2,
211,2024-03-07 00:00:00,2024-03-20 00:00:00,10200,0,23,Serviços tomados,10200,2024-03-18 00:00:00,0,S,,BS2,
212,2024-03-07 00:00:00,2024-03-20 00:00:00,9270,0,28,Serviços tomados,9270,2024-03-19 00:00:00,0,S,,BS2,
213,2024-03-07 00:00:00,2024-03-20 00:00:00,3640,0,26,Serviços tomados,3640,2024-03-19 00:00:00,0,S,,BS2,
215,2024-03-07 00:00:00,2024-03-20 00:00:00,6120,0,37,Serviços tomados,6120,2024-03-15 00:00:00,0,S,"IP Campinas e Ribeirão Preto/ 11/03 adiantamento de 1000,00+5120,00 15/03",BS2,
217,2024-03-07 00:00:00,2024-03-08 00:00:00,560,0,70,Serviços tomados,560,2024-03-15 00:00:00,0,S,Pg pix pessoal sem NF,BS2,
220,2024-03-07 00:00:00,2024-03-08 00:00:00,5972.4,0,20,Adiantamento Prestador,5972.4,2024-03-08 00:00:00,0,S,"1280,00 para parceiro Lanes (Sandes), 1360,00 parceiro José Welligton( Audisio) e 250,00 Cleber emprest. Já no a receber+1008,80 pgto Ronald s/nf -3% + 2073,60 pgto Marcílio",BS2,
222,2024-03-07 00:00:00,2024-03-20 00:00:00,11440,0,45,Serviços tomados,11440,2024-03-19 00:00:00,0,S,TOTVS NORDESTE 176 hrs,BS2,
223,2024-03-07 00:00:00,2024-03-08 00:00:00,780,0,58,Serviços tomados,780,2024-03-08 00:00:00,0,S,"Mauricio Mota apontou em Curituba pelo Valber, ref. a análise de Stored Procedures",BS2,
224,2024-03-08 00:00:00,2024-03-20 00:00:00,6506.25,0,48,Serviços tomados,6506.25,2024-03-19 00:00:00,0,S,TOTVS IP Ramon,BS2,
226,2024-03-08 00:00:00,2024-03-20 00:00:00,8840,0,71,Serviços tomados,8840,2024-03-19 00:00:00,0,S,"65,00 Audisio = 8.840 e 10,00 Welligton = 1360,00",BS2,
227,2024-03-12 00:00:00,2024-03-20 00:00:00,4480,0,44,Serviços tomados,4480,2024-03-15 00:00:00,0,S,Pagto de 56 hrs REINF e DIRF entregue,BS2,
228,2024-03-12 00:00:00,2024-03-20 00:00:00,162.5,0,44,Serviços tomados,162.5,2024-03-15 00:00:00,0,S,Inv.Mod7 - Sande finalizou,BS2,
1194,2024-04-02 00:00:00,2024-04-02 00:00:00,327.7,0,68,Combustível,327.7,2024-04-02 00:00:00,0,S,,BS2,
1195,2024-04-02 00:00:00,2024-04-02 00:00:00,12800,0,23,Serviços tomados,12800,2024-04-02 00:00:00,0,S,Antecipado pgto total,BS2,
1197,2024-04-05 00:00:00,2024-04-19 00:00:00,5200,0,73,Serviços tomados,5200,2024-04-18 00:00:00,0,S,"80 hrs a 65,00 para IP",BS2,
1200,2024-04-05 00:00:00,2024-04-19 00:00:00,6760,0,40,Serviços tomados,6760,2024-04-18 00:00:00,0,S,"104 hrs - 65,00 hrs Sande e 10,00 Lanes Serv.TOTVS IP",BS2,
1201,2024-04-05 00:00:00,2024-04-19 00:00:00,6000,0,40,Serviços tomados,6000,2024-04-18 00:00:00,0,S,Serviços Hydac,BS2,
1202,2024-04-05 00:00:00,2024-04-19 00:00:00,650,0,64,Serviços tomados,650,2024-04-18 00:00:00,0,S,10 hrs TOTVS IP,BS2,
1203,2024-04-05 00:00:00,2024-04-19 00:00:00,2000,0,20,Serviços tomados,2000,2024-04-12 00:00:00,0,S,"Pagto ao Lanes 96 hrs do Xavier e 104 hrs Sande a 10,00 hrs (Mar24) - Total= 2000,00",BS2,
1204,2024-04-05 00:00:00,2024-04-19 00:00:00,4000,0,43,Serviços tomados,4000,2024-04-05 00:00:00,0,S,"Paguei descontando 250,00 emprest. Pessoal e 300 de juros do adiantamento",BS2,
1205,2024-04-05 00:00:00,2024-04-19 00:00:00,6500,0,68,Serviços tomados,6500,2024-04-19 00:00:00,0,S,"Faltou 8 hrs, pedi ao Neylor dias 14 e 15/03 SOROCAPS",BS2,
1208,2024-04-05 00:00:00,2024-04-19 00:00:00,2240,0,39,Serviços tomados,2240,2024-04-17 00:00:00,0,S,"pg 32 hrs a 70,00 IP",BS2,
1209,2024-04-05 00:00:00,2024-04-19 00:00:00,9600,0,32,Serviços tomados,9600,2024-04-19 00:00:00,0,S,"pg 160 hrs a 60,00 IP",BS2,
1210,2024-04-05 00:00:00,2024-04-19 00:00:00,12000,0,62,Serviços tomados,12000,2024-04-16 00:00:00,0,S,"pg 120 a 100,00 IP",BS2,
1211,2024-04-05 00:00:00,2024-04-19 00:00:00,17085,0,74,Serviços tomados,17085,2024-04-17 00:00:00,0,S,pg 201 hrs a 85 IP,BS2,
1212,2024-04-05 00:00:00,2024-04-19 00:00:00,6240,0,72,Serviços tomados,6240,2024-04-19 00:00:00,0,S,"pg 96 hrs a 120,00 IP",BS2,
1213,2024-04-05 00:00:00,2024-04-19 00:00:00,320,0,20078,Serviços tomados,320,2024-04-05 00:00:00,0,S,Da Sara Catho pg pelo NUBANK passar para Mauricio,BS2,
1214,2024-04-05 00:00:00,2024-04-19 00:00:00,9120,0,28,Serviços tomados,9120,2024-04-19 00:00:00,0,S,"pg 152 hrs a 60,00 IP",BS2,
1215,2024-04-05 00:00:00,2024-04-19 00:00:00,10400,0,26,Serviços tomados,10400,2024-04-18 00:00:00,0,S,"pg 160 hrs a 65,00 IP",BS2,
1216,2024-04-05 00:00:00,2024-04-19 00:00:00,9330,0,37,Serviços tomados,9330,2024-04-19 00:00:00,0,S,"pg 9330,00 155,5 hrs a 60,00",BS2,
1218,2024-04-05 00:00:00,2024-04-19 00:00:00,9165,0,57,Serviços tomados,9165,2024-04-19 00:00:00,0,S,"Pg 9165,00 141 hrs 65,00 IP",BS2,
1219,2024-04-05 00:00:00,2024-04-19 00:00:00,2240,0,70,Serviços tomados,2240,2024-04-18 00:00:00,0,S,"PG 32 hrs a 70,00 IP",BS2,
1220,2024-04-05 00:00:00,2024-04-19 00:00:00,10400,0,71,Serviços tomados,10400,2024-04-18 00:00:00,0,S,"160 hrs - 65,00 Audisio e 10,00 Jose Welligton",BS2,
1221,2024-04-05 00:00:00,2024-04-19 00:00:00,1840,0,42,Serviços tomados,1840,2024-04-12 00:00:00,0,S,"160X10,00 = 1600,00 Audisio / 24X10,00=240,00 Genilson - TOTAL=1840,00",BS2,
1222,2024-04-05 00:00:00,2024-04-19 00:00:00,5805.75,0,48,Serviços tomados,5805.75,2024-04-19 00:00:00,0,S,"pg 77,41 hrs a 75
,00",BS2,
1223,2024-04-05 00:00:00,2024-04-19 00:00:00,12092.6,0,51,Serviços tomados,12092.6,2024-04-10 00:00:00,0,S,"pg 186,04 hr X 65,00",BS2,
1224,2024-04-08 00:00:00,2024-04-19 00:00:00,1440,86.4,78,Serviços tomados,1353.6,2024-04-16 00:00:00,0,S,"24 hrs na TOTVS a 60,00 - 6% s/ NF",SANTANDER,
1225,2024-04-08 00:00:00,2024-04-19 00:00:00,6720,0,39,Serviços tomados,6720,2024-04-17 00:00:00,0,S,"96 hrs a 123,94 SC",BS2,
1226,2024-04-12 00:00:00,2024-04-19 00:00:00,6240,0,45,Serviços tomados,6240,2024-04-19 00:00:00,0,S,"96 hrs a 65,00 TOTVS NE",BS2,
1227,2024-04-12 00:00:00,2024-04-19 00:00:00,1040,0,45,Serviços tomados,1040,2024-04-19 00:00:00,0,S,16 hrs Casa China Curitiba,BS2,
1228,2024-04-12 00:00:00,2024-04-19 00:00:00,1300,39,63,Serviços tomados,1261,2024-04-12 00:00:00,0,S,"pg 20 hr a 65,00 IP Transf. BS2 para Mauricio Santander (pg pelo Nubank)",SANTANDER,
1229,2024-04-15 00:00:00,2024-05-20 00:00:00,4000,0,43,Adiantamento Prestador,4000,2024-04-15 00:00:00,0,S,Adiantamento ref. aos serv. De Abril p/ receber em Maio24 - Nordeste e IP,BS2,
1230,2024-04-15 00:00:00,2024-04-18 00:00:00,600,0,65,Serviços tomados,600,2024-04-18 00:00:00,0,S,"8 hrsX75,00 = 600,00",BS2,
1231,2024-04-16 00:00:00,2024-04-19 00:00:00,1040,0,44,Serviços tomados,1040,2024-04-19 00:00:00,0,S,"16 hrs a 65,00 Capacitação Sol Fácil",BS2,
1232,2024-04-16 00:00:00,2024-04-16 00:00:00,1360,0,30078,Serviços tomados,1360,2024-04-16 00:00:00,0,S,"pg 16 hrs a 85,00 Capacitação DMS TOTVS OESTE",BS2,
1233,2024-04-22 00:00:00,2024-05-20 00:00:00,500,0,43,Adiantamento Prestador,500,2024-04-22 00:00:00,0,S,2o adiantamento para Maio/24,BS2,
2194,2024-04-26 00:00:00,2024-05-20 00:00:00,1170,0,43,Adiantamento Prestador,1170,2024-04-26 00:00:00,0,S,3o adiantamento para Maio/2,BS2,
2196,2024-05-03 00:00:00,2024-05-20 00:00:00,14840,0,39,Serviços tomados,14840,2024-05-17 00:00:00,0,S,213 hrs p/ TOTVS SC Reges,BS2,
2197,2024-05-08 00:00:00,2024-05-20 00:00:00,4160,0,73,Serviços tomados,4160,2024-05-17 00:00:00,0,S,64 hrs TOTVS IP TV Aliança,BS2,
2198,2024-05-08 00:00:00,2024-05-20 00:00:00,5460,0,40,Serviços tomados,5460,2024-05-13 00:00:00,0,S,"65,00 Sande e 10,00 Lanes",BS2,
2199,2024-05-08 00:00:00,2024-05-20 00:00:00,2990,0,64,Serviços tomados,2990,2024-05-17 00:00:00,0,S,46 hrs IP,BS2,
2200,2024-05-08 00:00:00,2024-05-20 00:00:00,195,0,64,Serviços tomados,195,2024-05-17 00:00:00,0,S,3 hrs Curitiba,BS2,
2201,2024-05-08 00:00:00,2024-05-20 00:00:00,9380,0,57,Serviços tomados,9380,2024-05-17 00:00:00,0,S,134 hrs TOTVS IP Neylor,BS2,
2203,2024-05-08 00:00:00,2024-05-20 00:00:00,8400,0,62,Serviços tomados,8400,2024-05-17 00:00:00,0,S,84 hrs TOTVS IP,BS2,
2204,2024-05-08 00:00:00,2024-05-20 00:00:00,21080,0,74,Serviços tomados,21080,2024-05-20 00:00:00,0,S,248 hrs TOTVS IP,BS2,
2205,2024-05-08 00:00:00,2024-05-20 00:00:00,14080,0,23,Serviços tomados,14080,2024-05-10 00:00:00,0,S,176 hrs TOTVS IP,BS2,
2206,2024-05-08 00:00:00,2024-05-20 00:00:00,9120,0,32,Serviços tomados,9120,2024-05-10 00:00:00,0,S,152 hrs TOTVS IP,BS2,
2207,2024-05-08 00:00:00,2024-05-20 00:00:00,10080,0,28,Serviços tomados,10080,2024-05-17 00:00:00,0,S,173 hrs TOTVS IP,BS2,
